gamma,Ftotal11_mean,Tfull11_mean,Ftotal12_mean,Tfull12_mean,Ftotal21_mean,Tfull21_mean,Ftotal22_mean,Tfull22_mean
0.6,1.0005007081632653,0.9993003326530613,0.6005216206255102,0.5985409285714286,-0.0003206875918367356,-0.0020619053061224496,1.0007431190816327,0.990720163367347
0.61,1.0004804491632653,0.9992493163265306,0.6105310231428571,0.6084430918367347,-0.0003657671734693884,-0.002128548775510207,1.0007427146938777,0.9906973381632652
0.62,1.0004645912346937,0.9992677173469386,0.6205507512244898,0.6183942051020408,-0.0004728596387755112,-0.002139348469387755,1.0007638183673468,0.9906480921428573
0.63,1.0004712726530611,0.9992774418367347,0.6305683443857142,0.6282498326530612,-0.0004553854081632648,-0.002042780591836735,1.0008055551020407,0.9905706317755101
0.64,1.0004669231632652,0.9992419071428572,0.6406005491938774,0.6381066051020408,-0.0004922412551020417,-0.0022447281632653085,1.0008468172448977,0.9902813667346939
0.65,1.0004836502040817,0.9992051551020409,0.6506060776530611,0.6479273632653061,-0.0004550153265306139,-0.0023179587755102044,1.0008361704081632,0.9901440835714285
0.66,1.0004674053061224,0.9991771295918367,0.6605923948979593,0.6578307683673469,-0.00047176223469387786,-0.002312040836734696,1.0008013370408164,0.9901521802448979
0.67,1.0004579634693878,0.9991373663265305,0.6706008131632653,0.6677152948979592,-0.0004782119489795923,-0.002293283469387754,1.0008035178571428,0.9901353585714286
0.68,1.0004456528571426,0.9990995081632653,0.6806091718367347,0.6776003775510204,-0.0004963208367346941,-0.0023251316326530617,1.000797127244898,0.9901088650000001
0.69,1.0004599259183675,0.9990600530612245,0.6906289848979592,0.687536875510204,-0.00046847533673469535,-0.0024478437755102024,1.0008326007142856,0.9900814260204083
0.7,1.0004759520408164,0.9990627948979591,0.7006413462653062,0.6976151030612245,-0.00043885544897959215,-0.0023684267346938785,1.0008396612244899,0.9905335144387755
0.71,1.0004819658163264,0.9990219979591838,0.7106641790408164,0.7077983061224491,-0.00043451155102040926,-0.0024385238367346978,1.0008658018367345,0.9910622528979592
0.72,1.0004838874489796,0.9989997938775511,0.7206771337244898,0.7177802224489795,-0.00040732979591836805,-0.0023068773673469395,1.0008706779591836,0.9912030765714286
0.73,1.00202228777551,0.9971375270408163,0.7311430037448979,0.4949613991836735,-0.0012628294285714266,0.1500242870918367,1.0031815552367347,0.9160410282959184
0.74,1.0024421032244897,0.9970532709183674,0.7415395487877551,0.49740043987755095,-0.0014628347000000006,0.1518949873367347,1.0030000799857144,0.9177930095612246
0.75,1.0020295019693877,0.9998008164693876,0.751226229944898,0.5043536879591837,-0.0018808758602040824,0.1532040987857143,1.0037732610918368,0.916002062397959
0.76,1.001837531782653,1.0015963358163265,0.7609136891122448,0.5121757532653062,-0.0019361269183673466,0.15355944906122448,1.0039687077040818,0.9165300706938775
0.77,1.002128339734694,1.0023208714285714,0.7712504676323471,0.5109933942857143,-0.001672128447959182,0.16033038661224489,1.0039707555591837,0.9132767575918367
0.78,1.002493107846939,1.0035501868367347,0.7814061002142857,0.5179254772448979,-0.0011942868571428568,0.1630520200102041,1.0040418278469387,0.9101545307142858
0.79,1.0024109476530612,1.005441050877551,0.7916136616224491,0.5223396203061225,-0.0014981128265306118,0.16490218987755104,1.0038829147040815,0.9099311637653061
0.8,1.0028168215408162,1.0091285498775509,0.8019481750214286,0.5317495408571429,-0.001488357459183675,0.16672513879591835,1.0039393026122447,0.9077989390816327
